City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Ilhabela,BR,2020-08-23 17:21:24,-23.78,-45.36,66.42,66,46,4.47,light rain
257,Prince Rupert,CA,2020-08-23 17:21:25,54.32,-130.32,57.2,87,90,10.29,overcast clouds
258,Broome,US,2020-08-23 17:19:53,42.25,-75.83,88.0,51,1,4.7,clear sky
259,Parrita,CR,2020-08-23 17:21:25,9.52,-84.32,77.0,78,40,8.05,scattered clouds
260,Sangar,RU,2020-08-23 17:21:25,63.92,127.47,38.35,89,18,1.41,few clouds
261,Menongue,AO,2020-08-23 17:21:26,-14.66,17.69,74.01,23,59,2.89,broken clouds
262,Qurayyat,SA,2020-08-23 17:21:26,31.33,37.34,89.6,27,0,20.8,clear sky
263,Lewistown,US,2020-08-23 17:21:26,40.6,-77.57,84.99,61,75,4.43,haze
264,Iskateley,RU,2020-08-23 17:21:26,67.68,53.15,58.32,82,17,10.25,few clouds
265,Nanzhang,CN,2020-08-23 17:21:26,31.78,111.84,77.45,88,8,3.06,clear sky
266,Ancud,CL,2020-08-23 17:20:01,-41.87,-73.82,51.01,100,90,14.99,overcast clouds
267,Rawson,AR,2020-08-23 17:18:44,-43.3,-65.1,63.97,29,75,8.12,broken clouds
268,Praia,CV,2020-08-23 17:21:27,14.92,-23.51,84.2,74,75,11.41,broken clouds
269,Souillac,MU,2020-08-23 17:19:52,-20.52,57.52,71.6,73,20,17.22,few clouds
270,Galveston,US,2020-08-23 17:21:28,29.37,-94.97,91.4,55,20,13.87,few clouds
271,Wilmington,US,2020-08-23 17:17:15,34.23,-77.94,84.99,74,90,5.82,overcast clouds
