City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Mehamn,NO,66.2,broken clouds,71.04,27.85,Mehamn Arctic Hotel AS
286,Norman Wells,CA,60.8,few clouds,65.28,-126.83,Heritage Hotel
290,Aktau,KZ,66.2,overcast clouds,43.65,51.2,Silk Way Hotel
291,Santa Cruz Cabralia,BR,73.4,shower rain,-16.28,-39.02,Portobali Hotel
297,Snezhnogorsk,RU,60.8,broken clouds,69.19,33.25,Severnoye Siyaniye
300,Ostersund,SE,55.4,overcast clouds,63.18,14.64,Best Western Hotel Gamla Teatern
305,Aksum,ET,61.56,light rain,14.12,38.72,Hotel Delina
307,Shaunavon,CA,70.57,clear sky,49.65,-108.42,Bear's Den Lodge
308,Polunochnoye,RU,49.73,few clouds,60.87,60.42,
309,Santiago De Cao,PE,65.21,scattered clouds,-7.96,-79.24,Villa Konecta - Alojamiento Familiar
311,Noyabrsk,RU,51.46,overcast clouds,63.2,75.45,Hotel Uyutnaya
313,Kenai,US,57.99,broken clouds,60.55,-151.26,Aspen Extended Stay Suites
315,San Roque,ES,73.4,clear sky,36.21,-5.38,Hotel Guadacorte Park
318,Berlevag,NO,66.2,light rain,70.86,29.09,Kvitbrakka
320,Ahipara,NZ,55.35,light rain,-35.17,173.17,Ahipara Holiday Park
321,Ippy,CF,70.61,moderate rain,6.27,21.22,
324,Naranjito,EC,73.4,overcast clouds,-2.22,-79.48,canton marcelino maridueña
329,Ouango,CF,72.25,overcast clouds,4.31,22.56,
330,Gornopravdinsk,RU,52.05,broken clouds,60.05,69.9,
331,Namibe,AO,66.87,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
333,Katrineholm,SE,68.0,broken clouds,59.0,16.21,Hotel Gillet
335,Muzhi,RU,50.52,scattered clouds,65.37,64.67,
336,Iqaluit,CA,48.2,scattered clouds,63.75,-68.51,Frobisher Inn
338,Dudinka,RU,57.2,light rain,69.41,86.18,Hotel Viktoria
339,Atambua,ID,67.23,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
341,Caravelas,BR,68.31,light rain,-17.71,-39.25,Pousada dos Navegantes
342,Saint-Pierre,RE,68.0,clear sky,-21.34,55.48,Lindsey Hôtel
343,Erenhot,CN,66.79,scattered clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
344,Roald,NO,53.6,scattered clouds,62.58,6.13,Flem Cabins
350,Kon Tum,VN,70.93,overcast clouds,14.35,108.0,Hoa đà spa- homestay
353,Saldanha,ZA,62.6,overcast clouds,-33.01,17.94,Blue Bay Lodge
354,Alofi,NU,73.4,broken clouds,-19.06,-169.92,Taloa Heights
355,Omboue,GA,74.34,overcast clouds,-1.57,9.26,Hotel Olako
356,Lagoa,PT,73.78,scattered clouds,39.05,-27.98,Casa Das Faias
358,Beyneu,KZ,69.67,overcast clouds,45.32,55.2,NUR
361,Rumonge,BI,74.37,broken clouds,-3.97,29.44,Iratiro Tours
362,Eregli,TR,69.71,clear sky,37.51,34.05,Hotel Fuat Bey
364,Flin Flon,CA,66.2,scattered clouds,54.77,-101.86,Victoria Inn Flin Flon
366,Oktyabrskiy,RU,56.1,clear sky,54.48,53.47,Уязы-Тау гостиница
367,Poum,NC,72.03,broken clouds,-20.23,164.02,Gîte kajeon
371,Nemuro,JP,62.28,scattered clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
372,Znamenskoye,RU,50.88,broken clouds,57.13,73.83,
374,General Roca,AR,60.8,scattered clouds,-39.03,-67.58,Hotel El Recreo
378,Kholm,RU,63.19,overcast clouds,59.27,32.85,
381,Finote Selam,ET,60.15,light rain,10.7,37.27,Tsion Hotel
383,Constitucion,CL,53.35,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
384,Yerbogachen,RU,48.76,broken clouds,61.28,108.01,
385,Sobolevo,RU,64.51,broken clouds,54.43,31.9,
387,Congonhas,BR,68.0,broken clouds,-20.5,-43.86,Hotel Colonial
389,Norilsk,RU,57.2,overcast clouds,69.35,88.2,NordHostel
390,Beloha,MG,67.89,clear sky,-25.17,45.05,
392,Cuamba,MZ,67.69,overcast clouds,-14.8,36.54,Hotel Vision
397,Gravdal,NO,53.6,broken clouds,68.12,13.5,Skreda Rorbusuiter
398,Lasa,IT,66.99,scattered clouds,46.62,10.7,Pension Feldgärtenhof
399,Tautira,PF,71.6,few clouds,-17.73,-149.15,Pension Oaoa
401,Kendari,ID,71.62,clear sky,-3.94,122.5,Hotel Wixel
402,Taonan,CN,67.44,light rain,45.33,122.78,Makro Hotel
406,Ballina,AU,51.01,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
407,Rocha,UY,63.45,clear sky,-34.48,-54.33,Beleza Pura B&B
408,Aksha,RU,55.2,overcast clouds,50.28,113.29,
409,Vostok,RU,53.92,overcast clouds,46.49,135.88,
410,Maniitsoq,GL,46.18,scattered clouds,65.42,-52.9,Hotel Heilmann Lyberth
411,Acari,PE,71.94,scattered clouds,-15.43,-74.62,Hospedaje Ximens
413,Rafai,CF,69.96,broken clouds,4.95,23.92,
415,Sorland,NO,51.8,light intensity shower rain,67.67,12.69,Sjybrygga fiskecamp
418,Barranca,PE,66.13,scattered clouds,-10.75,-77.77,El Olivar Hospedaje
420,Talara,PE,69.94,scattered clouds,-4.58,-81.27,Hostal Oro Negro
421,Sechura,PE,74.59,clear sky,-5.56,-80.82,Hospedaje Costa Bella
422,Bijie,CN,67.68,scattered clouds,27.31,105.29,Four Points by Sheraton Bijie
423,Coronel Vivida,BR,65.07,clear sky,-25.98,-52.57,Stedile Palace Hotel
424,Karabash,RU,50.04,scattered clouds,55.48,60.22,Uyut
426,Tahe,CN,58.01,light rain,52.33,124.73,塔河宾馆
427,Terrace,CA,55.4,overcast clouds,54.52,-128.6,Northern Motor Inn
430,Borovskoy,KZ,55.24,broken clouds,53.8,64.15,
431,Egvekinot,RU,46.2,light rain,66.32,-179.17,
432,Marienburg,PL,72.0,scattered clouds,54.04,19.03,Hotel Centrum Malbork
433,Hammerfest,NO,51.8,fog,70.66,23.68,Skytterhuset
434,Kununurra,AU,62.6,clear sky,-15.77,128.73,Hotel Kununurra
435,Guarapari,BR,71.6,broken clouds,-20.67,-40.5,Hotel Porto do Sol
438,Crib Point,AU,45.0,light rain,-38.35,145.2,Erawan Bed & Breakfast
439,Turukhansk,RU,55.27,light rain,65.82,87.98,"ООО ""Туруханская пушнина"""
441,Parfino,RU,65.08,overcast clouds,57.97,31.65,Zabava U Sergeyevicha
442,Salinas,US,72.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
443,Waingapu,ID,73.94,broken clouds,-9.66,120.26,Pondok Wisata Elim
