City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Ouesso,CG,2020-08-22 19:35:22,1.61,16.05,72.32,94,100,0.92
165,Vallenar,CL,2020-08-22 19:32:02,-28.57,-70.76,72.73,21,0,12.03
166,Nelson Bay,AU,2020-08-22 19:35:22,-32.72,152.15,50.0,66,93,26.4
167,Gravdal,NO,2020-08-22 19:35:22,68.12,13.5,56.73,93,100,14.09
168,Port Hardy,CA,2020-08-22 19:35:23,50.7,-127.42,57.2,87,90,6.93
169,Belyy Yar,RU,2020-08-22 19:35:23,53.6,91.39,51.8,100,6,2.8
170,Port Macquarie,AU,2020-08-22 19:30:57,-31.43,152.92,52.0,47,0,1.01
171,Papar,MY,2020-08-22 19:35:24,5.73,115.93,75.2,100,20,3.76
172,Banda Aceh,ID,2020-08-22 19:35:24,5.56,95.32,78.66,80,24,6.49
173,Keelung,TW,2020-08-22 19:35:24,25.13,121.74,80.6,88,75,12.75
174,Ouro Preto Do Oeste,BR,2020-08-22 19:35:24,-10.75,-62.22,89.24,25,0,3.87
175,Sitka,US,2020-08-22 19:35:25,57.05,-135.33,57.2,87,75,4.7
176,Chegdomyn,RU,2020-08-22 19:35:25,51.12,133.02,58.55,95,100,4.07
177,Langsa,ID,2020-08-22 19:35:25,4.47,97.97,75.04,91,36,2.44
178,Lorengau,PG,2020-08-22 19:35:26,-2.02,147.27,80.38,77,11,2.39
179,Crixas,BR,2020-08-22 19:35:26,-14.55,-49.97,90.1,28,63,10.2
180,Kirakira,SB,2020-08-22 19:35:26,-10.45,161.92,80.22,82,100,10.45
181,Chuy,UY,2020-08-22 19:35:27,-33.7,-53.46,55.33,57,0,5.48
182,Ahipara,NZ,2020-08-22 19:35:27,-35.17,173.17,55.17,91,32,6.8
183,Ulladulla,AU,2020-08-22 19:35:27,-35.35,150.47,48.2,55,8,16.11
184,Cabo San Lucas,MX,2020-08-22 19:35:28,22.89,-109.91,91.4,58,5,8.05
185,Longyearbyen,SJ,2020-08-22 19:35:28,78.22,15.64,42.8,70,40,8.05
186,Cidreira,BR,2020-08-22 19:35:29,-30.18,-50.21,55.87,66,0,6.38
187,Provideniya,RU,2020-08-22 19:35:29,64.38,-173.3,49.53,93,100,4.83
188,Tokoroa,NZ,2020-08-22 19:35:29,-38.23,175.87,51.01,90,65,5.99
189,Saint-Augustin,CA,2020-08-22 19:35:29,51.23,-58.65,64.24,65,96,4.54
